

RELATIVE TOLERANCE = 6.8190e-08

 ITERATION NO.        RELATIVE RESIDUAL
      54                 4.9192e-03
      55                 4.2802e-03
      56                 3.2590e-03
      57                 2.9079e-03
      58                 2.9011e-03
      59                 2.3158e-03
      60                 1.6148e-03
      61                 1.1577e-03
      62                 9.9611e-04
      63                 9.8910e-04
      64                 9.4321e-04
      65                 7.1235e-04
      66                 5.0562e-04
      67                 4.3447e-04
      68                 4.3290e-04
      69                 3.5818e-04
      70                 2.4848e-04
      71                 1.9933e-04
      72                 1.8907e-04
      73                 1.8482e-04
      74                 1.4841e-04
      75                 1.0409e-04
      76                 6.9640e-05
      77                 4.6724e-05
      78                 3.5785e-05
      79                 3.2822e-05
      80                 3.2794e-05
      81                 2.8752e-05
      82                 2.0207e-05
      83                 1.2680e-05
      84                 8.0599e-06
      85                 4.7053e-06
      86                 2.7453e-06
      87                 1.6219e-06
      88                 8.9961e-07
      89                 5.5707e-07
      90                 4.1591e-07
      91                 3.9436e-07
      92                 3.8725e-07
      93                 3.1569e-07
      94                 2.0023e-07
      95                 1.1173e-07
      96                 6.3337e-08
      97                 3.5063e-08


***PROBLEM CONVERGES IN 97 ITERATIONS***



RELATIVE TOLERANCE = 4.7692e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 2.2786e+00
       2                 6.5343e-01
       3                 3.4964e-01
       4                 2.7909e-01
       5                 2.0125e-01
       6                 1.4053e-01
       7                 1.1205e-01
       8                 1.1204e-01
       9                 1.0346e-01
      10                 7.2041e-02
      11                 5.2113e-02
      12                 4.1806e-02
      13                 3.4581e-02
      14                 3.3867e-02
      15                 3.1609e-02
      16                 2.5463e-02
      17                 2.4063e-02
      18                 2.3984e-02
      19                 2.0934e-02
      20                 1.7682e-02
      21                 1.5064e-02
      22                 1.4895e-02
      23                 1.4582e-02
      24                 1.2987e-02
      25                 1.2534e-02
      26                 1.2246e-02
      27                 1.0689e-02
      28                 1.0166e-02
      29                 1.0160e-02
      30                 8.9914e-03
      31                 7.1510e-03
      32                 7.0060e-03
      33                 6.6640e-03
      34                 6.2079e-03
      35                 5.9819e-03
      36                 5.9601e-03
      37                 5.9029e-03
      38                 5.7855e-03
      39                 5.7249e-03
      40                 5.7232e-03
      41                 5.6773e-03
      42                 5.6548e-03
      43                 5.6547e-03
      44                 5.5853e-03
      45                 5.2480e-03
      46                 5.1074e-03
      47                 5.1049e-03
      48                 5.0535e-03
      49                 4.9214e-03
      50                 4.7603e-03
      51                 4.7602e-03
      52                 4.5300e-03
      53                 4.4550e-03
      54                 4.3665e-03
      55                 3.7993e-03
      56                 2.8930e-03
      57                 2.5812e-03
      58                 2.5752e-03
      59                 2.0556e-03
      60                 1.4334e-03
      61                 1.0277e-03
      62                 8.8419e-04
      63                 8.7797e-04
      64                 8.3724e-04
      65                 6.3232e-04
      66                 4.4883e-04
      67                 3.8570e-04
      68                 3.8430e-04
      69                 3.1795e-04
      70                 2.2056e-04
      71                 1.7693e-04
      72                 1.6783e-04
      73                 1.6405e-04
      74                 1.3174e-04
      75                 9.2399e-05
      76                 6.1817e-05
      77                 4.1475e-05
      78                 3.1765e-05
      79                 2.9135e-05
      80                 2.9110e-05
      81                 2.5522e-05
      82                 1.7937e-05
      83                 1.1256e-05
      84                 7.1544e-06
      85                 4.1766e-06
      86                 2.4368e-06
      87                 1.4396e-06
      88                 7.9854e-07
      89                 4.9448e-07
      90                 3.6918e-07
      91                 3.5006e-07
      92                 3.4375e-07
      93                 2.8022e-07
      94                 1.7773e-07
      95                 9.9181e-08
      96                 5.6220e-08
      97                 3.1123e-08


***PROBLEM CONVERGES IN 97 ITERATIONS***



RELATIVE TOLERANCE = 4.2334e-08

 ITERATION NO.        RELATIVE RESIDUAL
***************      *******************
       1                 2.0226e+00
       2                 5.8007e-01
       3                 3.1043e-01
       4                 2.4773e-01
       5                 1.7870e-01
       6                 1.2474e-01
       7                 9.9457e-02
       8                 9.9456e-02
       9                 9.1834e-02
      10                 6.3947e-02
      11                 4.6260e-02
      12                 3.7110e-02
      13                 3.0696e-02
      14                 3.0062e-02
      15                 2.8057e-02
      16                 2.2602e-02
      17                 2.1360e-02
      18                 2.1290e-02
      19                 1.8582e-02
      20                 1.5695e-02
      21                 1.3372e-02
      22                 1.3221e-02
      23                 1.2944e-02
      24                 1.1528e-02
      25                 1.1126e-02
      26                 1.0870e-02
      27                 9.4881e-03
      28                 9.0239e-03
      29                 9.0186e-03
      30                 7.9812e-03
      31                 6.3476e-03
      32                 6.2189e-03
      33                 5.9152e-03
      34                 5.5104e-03
      35                 5.3099e-03
      36                 5.2905e-03
      37                 5.2397e-03
      38                 5.1356e-03
      39                 5.0818e-03
      40                 5.0802e-03
      41                 5.0395e-03
      42                 5.0195e-03
      43                 5.0194e-03
      44                 4.9578e-03
      45                 4.6584e-03
      46                 4.5335e-03
      47                 4.5314e-03
      48                 4.4855e-03
      49                 4.3684e-03
      50                 4.2255e-03
      51                 4.2254e-03
      52                 4.0211e-03
      53                 3.9545e-03
      54                 3.8760e-03
      55                 3.3726e-03
      56                 2.5681e-03
      57                 2.2913e-03
      58                 2.2859e-03
      59                 1.8247e-03
      60                 1.2724e-03
      61                 9.1219e-04
      62                 7.8484e-04
      63                 7.7932e-04
      64                 7.4317e-04
      65                 5.6128e-04
      66                 3.9843e-04
      67                 3.4243e-04
      68                 3.4118e-04
      69                 2.8224e-04
      70                 1.9579e-04
      71                 1.5706e-04
      72                 1.4897e-04
      73                 1.4562e-04
      74                 1.1694e-04
      75                 8.2019e-05
      76                 5.4873e-05
      77                 3.6816e-05
      78                 2.8197e-05
      79                 2.5862e-05
      80                 2.5840e-05
      81                 2.2655e-05
      82                 1.5922e-05
      83                 9.9911e-06
      84                 6.3507e-06
      85                 3.7074e-06
