#it	time	Xp[0]	Xp[1]	Xp[2]	Vp[0]	Vp[1]	Vp[2]	Wp[0]	Wp[1]	Wp[2]	Fx	Fy	Fz	Tx	Ty	Tz
0:	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1:	2.500000e-06	0.000000e+00	0.000000e+00	0.000000e+00	1.923696e-02	2.604149e-06	-6.529283e-07	0.000000e+00	0.000000e+00	0.000000e+00	2.539278e-10	3.437477e-14	-8.618653e-15	1.482336e-20	-1.468464e-19	1.218274e-19
